time/total_timesteps,time/fps,time/episodes,time/time_elapsed,eval/mean_reward,eval/mean_ep_length,train/ent_coef_loss,train/ent_coef,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate
9600,,,,-3.5096112999999995,6.6,,,,,,
9600,1642,1504,5,,,,,,,,
9625,1644,1508,5,,,,,,,,
9647,1646,1512,5,,,,,,,,
9673,1649,1516,5,,,,,,,,
9700,,,,-3.779051999999999,6.6,,,,,,
9702,1643,1520,5,,,,,,,,
9717,1644,1524,5,,,,,,,,
9737,1646,1528,5,,,,,,,,
9762,1648,1532,5,,,,,,,,
9787,1651,1536,5,,,,,,,,
9800,,,,-6.3306995,8.2,,,,,,
9807,1642,1540,5,,,,,,,,
9833,1645,1544,5,,,,,,,,
9863,1648,1548,5,,,,,,,,
9885,1650,1552,5,,,,,,,,
9900,,,,-6.0286475,7.4,,,,,,
9913,1643,1556,6,,,,,,,,
9929,1644,1560,6,,,,,,,,
9949,1646,1564,6,,,,,,,,
9981,1649,1568,6,,,,,,,,
10000,,,,-5.0720134,8.2,,,,,,
10011,1642,1572,6,,,,,,,,
10043,1646,1576,6,,,,,,,,
10063,1647,1580,6,,,,,,,,
10091,1650,1584,6,,,,,,,,
10100,,,,-5.1499793,8.2,,,,,,
10117,1643,1588,6,,,,,,,,
10145,1646,1592,6,,,,,,,,
10163,1647,1596,6,,,,,,,,
10196,1650,1600,6,,,,,,,,
10200,,,,-5.4800547,9.0,,,,,,
10226,1643,1604,6,,,,,,,,
10258,1646,1608,6,,,,,,,,
10285,1648,1612,6,,,,,,,,
10300,,,,-6.4175313,8.5,,,,,,
10309,1641,1616,6,,,,,,,,
10328,1643,1620,6,,,,,,,,
10363,1646,1624,6,,,,,,,,
10377,1647,1628,6,,,,,,,,
10400,,,,-3.6272436999999997,6.3,,,,,,
10402,1641,1632,6,,,,,,,,
10422,1643,1636,6,,,,,,,,
10445,1645,1640,6,,,,,,,,
10474,1648,1644,6,,,,,,,,
10499,1650,1648,6,,,,,,,,
10500,,,,-6.123821000000001,8.2,,,,,,
10523,1643,1652,6,,,,,,,,
10542,1644,1656,6,,,,,,,,
10565,1646,1660,6,,,,,,,,
10583,1647,1664,6,,,,,,,,
10600,,,,-6.074921600000001,9.0,,,,,,
10612,1640,1668,6,,,,,,,,
10640,1643,1672,6,,,,,,,,
10673,1646,1676,6,,,,,,,,
10680,1646,1680,6,,,,,,,,
