#{"t_start": 1735015677.8548002, "env_id": "GraspEnv_v3"}
r,l,t
-3.311879,9,9.590554
-5.385893,9,9.597691
-3.674042,9,9.606695
-5.626126,9,9.613428
-8.981143,9,9.664427
-7.689744,9,9.672458
-8.01539,9,9.682357
-5.689288,9,9.69042
-5.658777,9,9.697566
-7.421212,9,9.704562
-6.878158,9,9.711403
-5.490886,9,9.717406
-3.994556,9,9.72441
-5.107058,9,9.731408
-4.467029,9,9.804381
-2.170134,9,9.814995
0.84239,1,9.817009
-2.022553,9,9.828995
-8.363426,9,9.838079
-8.801732,9,9.845105
-3.014532,9,9.852078
-7.59172,9,9.859108
-8.520516,9,9.865996
0.86787,1,9.867989
-6.662735,9,9.919723
-7.597162,9,9.927733
-5.174393,9,9.935735
-3.508449,7,9.941728
-7.258133,9,9.948733
-2.388646,9,9.9578
-8.184523,9,9.965759
-8.992979,9,9.972742
0.860285,1,9.974733
-5.986939,9,9.982735
0.89649,1,10.022491
-6.92738,9,10.030511
-6.348294,9,10.039503
-5.008272,9,10.048507
0.163044,3,10.051501
0.633792,2,10.054525
-6.623922,9,10.061506
-7.95757,9,10.068579
-4.020192,9,10.079568
-8.445381,9,10.086569
-4.361652,9,10.13532
-6.837425,9,10.144312
0.939661,1,10.146302
-6.033694,9,10.153306
-6.774935,9,10.160332
-4.114354,9,10.169297
-3.396519,9,10.175317
-8.356782,9,10.18233
-6.651025,9,10.189255
-2.515563,9,10.196462
-8.344381,9,10.249097
-6.362038,9,10.257105
-8.532766,9,10.265108
-4.871909,9,10.272109
-8.664291,9,10.280111
-8.90547,9,10.289111
-7.044883,9,10.296106
-2.184315,9,10.303273
-6.042774,9,10.310289
-7.847285,9,10.316823
-7.280585,9,10.370819
-6.219678,9,10.380836
-5.176439,9,10.388824
-6.40202,9,10.395842
-6.216457,9,10.404027
0.943566,1,10.405926
-6.622524,9,10.412879
0.49104,3,10.415823
-8.714729,9,10.423856
-7.397483,9,10.430851
-7.176942,9,10.484847
-5.981604,9,10.492852
-3.285494,9,10.501004
-8.640461,9,10.508944
0.958326,1,10.511016
-3.742796,9,10.517845
-4.654353,9,10.527812
-8.782155,9,10.535823
-8.251595,9,10.544819
-8.960884,9,10.551826
-6.107485,9,10.602024
-6.505932,9,10.610018
-8.049129,9,10.617834
-8.644516,9,10.624838
-7.467917,9,10.631836
-4.30552,9,10.638834
-8.770268,9,10.649834
-7.48042,9,10.656836
-6.383776,9,10.662835
0.968691,1,10.664829
-4.134208,9,10.71861
-7.257499,9,10.726672
-4.072208,9,10.733665
-6.190513,9,10.74167
-2.95787,9,10.751667
0.932361,1,10.753661
-5.685153,9,10.760674
-8.981068,9,10.767677
0.914886,1,10.76867
-6.312445,9,10.775673
-3.871604,9,10.82759
-5.981175,9,10.835522
-4.84817,9,10.843561
-3.728679,9,10.851552
-7.995043,9,10.858558
-8.4398,9,10.865556
-8.479544,9,10.872562
-7.411109,9,10.879562
-6.032375,9,10.887554
-8.751983,9,10.897699
-8.993593,9,10.95637
-2.958727,9,10.965443
-6.669291,9,10.974448
0.9536,1,10.977443
-6.459881,9,10.984457
-3.718134,9,10.992454
-4.335117,9,10.999588
-2.701286,9,11.006584
0.862181,1,11.007586
-5.454201,9,11.015426
-8.087345,9,11.069317
-4.01636,9,11.077317
0.96029,1,11.079332
-8.593364,9,11.086351
-6.891677,9,11.094314
0.962887,1,11.096336
0.999308,1,11.097333
-6.185936,9,11.105404
-8.024911,9,11.112409
-7.197891,9,11.119171
-5.712416,9,11.173178
-8.675772,9,11.181178
-6.137323,9,11.188173
-7.772045,9,11.195175
-3.739991,9,11.202307
0.964308,1,11.204308
-3.765096,9,11.21331
-8.716732,9,11.220084
-6.18696,9,11.227088
-8.556775,9,11.234038
-3.734044,9,11.285077
-3.019778,9,11.292073
-7.325042,9,11.301159
0.852183,1,11.303161
-8.900229,9,11.310158
-7.236602,9,11.317978
-7.115479,9,11.326989
-4.505955,9,11.333973
-8.080822,9,11.339977
0.214329,3,11.34399
-2.757414,9,11.393974
-8.993715,9,11.404142
-5.370793,9,11.412126
-4.613152,9,11.418944
-5.911297,9,11.425937
-4.561238,9,11.432931
-6.465915,9,11.439909
-6.097687,9,11.446887
-5.936101,9,11.453921
-7.917715,9,11.460938
0.398665,3,11.513525
-2.269121,9,11.521603
-4.100244,9,11.531579
-8.606553,9,11.538602
-2.142793,9,11.545598
-2.070052,9,11.553586
0.954736,1,11.554589
-3.020209,9,11.563589
-5.937298,9,11.570662
-6.442106,9,11.580658
-6.715193,9,11.639506
-7.948787,9,11.6485
-7.012441,9,11.657497
-6.99779,9,11.665503
-8.699878,9,11.672501
-8.0174,9,11.678501
-2.195663,9,11.686503
-5.25934,9,11.693502
-8.151122,9,11.700593
-8.881597,9,11.70659
-5.266221,9,11.761398
0.901354,1,11.764407
-7.238498,9,11.772396
-2.792998,9,11.780406
-4.838405,9,11.788405
-4.906129,9,11.798404
0.936418,1,11.799545
-5.935916,9,11.80654
-6.624509,9,11.813546
-5.273511,9,11.820308
-8.924872,9,11.873314
-4.047965,9,11.881311
-5.549881,9,11.888316
-8.208701,9,11.895315
-7.720452,9,11.902457
-4.872737,9,11.909459
-6.943527,9,11.919314
0.818671,1,11.921315
0.821666,1,11.923318
