time/episodes,time/time_elapsed,time/total_timesteps,time/fps,eval/mean_ep_length,eval/mean_reward,train/ent_coef,train/n_updates,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/actor_loss
1576,44,12526,283,,,,,,,,
1580,44,12566,283,,,,,,,,
,,12600,,5.7,-3.5661739999999993,,,,,,
1584,44,12604,283,,,,,,,,
1588,44,12639,283,,,,,,,,
1592,44,12686,284,,,,,,,,
,,12700,,7.8,-3.7902940999999997,,,,,,
1596,44,12717,283,,,,,,,,
1600,44,12757,284,,,,,,,,
1604,44,12774,284,,,,,,,,
,,12800,,10.3,-7.4069695,,,,,,
1608,45,12815,282,,,,,,,,
1612,45,12854,283,,,,,,,,
1616,45,12891,284,,,,,,,,
,,12900,,8.5,-4.5063641,,,,,,
1620,45,12915,282,,,,,,,,
1624,45,12967,283,,,,,,,,
,,13000,,8.2,-4.0387262999999995,,,,,,
1628,46,13005,282,,,,,,,,
1632,46,13027,282,,,,,,,,
1636,46,13055,282,,,,,,,,
,,13100,,9.2,-6.364187199999999,,,,,,
1640,46,13107,281,,,,,,,,
1644,46,13149,282,,,,,,,,
1648,46,13190,283,,,,,,,,
,,13200,,9.8,-6.7432676,,,,,,
1652,47,13218,281,,,,,,,,
1656,47,13257,281,,,,,,,,
1660,47,13281,282,,,,,,,,
,,13300,,8.3,-5.0168633,,,,,,
1664,47,13310,281,,,,,,,,
1668,47,13336,281,,,,,,,,
1672,47,13358,281,,,,,,,,
,,13400,,8.3,-5.0389767,,,,,,
1676,47,13401,280,,,,,,,,
1680,47,13433,281,,,,,,,,
1684,47,13467,281,,,,,,,,
,,13500,,9.8,-5.7524079,,,,,,
1688,48,13500,280,,,,,,,,
1692,48,13529,280,,,,,,,,
1696,48,13556,281,,,,,,,,
1700,48,13599,281,,,,,,,,
,,13600,,8.2,-4.0675963,,,,,,
1704,48,13624,280,,,,,,,,
1708,48,13649,280,,,,,,,,
1712,48,13677,281,,,,,,,,
1716,48,13697,281,,,,,,,,
,,13700,,8.9,-5.819922199999999,,,,,,
1720,49,13727,280,,,,,,,,
1724,49,13754,280,,,,,,,,
1728,49,13798,280,,,,,,,,
,,13800,,7.6,-3.4437605,,,,,,
1732,49,13830,279,,,,,,,,
1736,49,13841,280,,,,,,,,
1740,49,13868,280,,,,,,,,
,,13900,,7.8,-4.482457699999999,,,,,,
1744,49,13908,279,,,,,,,,
1748,49,13917,279,,,,,,,,
1752,49,13930,279,,,,,,,,
1756,49,13958,280,,,,,,,,
1760,49,13984,280,,,,,,,,
,,14000,,7.6,-4.462814599999999,,,,,,
1764,50,14029,279,,,,,,,,
1768,50,14069,280,,,,,,,,
,,14100,,8.6,-5.4891442,,,,,,
1772,50,14104,279,,,,,,,,
1776,50,14148,279,,,,,,,,
1780,50,14164,279,,,,,,,,
1784,50,14196,280,,,,,,,,
,,14200,,8.0,-4.554020899999999,,,,,,
1788,50,14237,279,,,,,,,,
1792,50,14263,279,,,,,,,,
1796,50,14298,280,,,,,,,,
,,14300,,6.1,-3.0949312000000004,,,,,,
1800,51,14330,279,,,,,,,,
1804,51,14369,280,,,,,,,,
,,14400,,10.3,-5.6405929,,,,,,
1808,51,14415,278,,,,,,,,
1812,51,14427,278,,,,,,,,
1816,51,14454,279,,,,,,,,
1820,51,14480,279,,,,,,,,
,,14500,,8.3,-4.786042,,,,,,
1824,52,14520,278,,,,,,,,
1828,52,14556,279,,,,,,,,
1832,52,14587,279,,,,,,,,
,,14600,,8.5,-3.9621077,,,,,,
1836,52,14626,278,,,,,,,,
1840,52,14651,279,,,,,,,,
1844,52,14691,279,,,,,,,,
,,14700,,7.8,-4.435089400000001,,,,,,
1848,52,14730,278,,,,,,,,
1852,52,14752,279,,,,,,,,
1856,52,14787,279,,,,,,,,
,,14800,,9.6,-6.627741800000001,,,,,,
1860,53,14827,278,,,,,,,,
1864,53,14866,278,,,,,,,,
1868,53,14887,278,,,,,,,,
,,14900,,6.7,-3.029345,,,,,,
1872,53,14911,278,,,,,,,,
1876,53,14930,278,,,,,,,,
1880,53,14944,278,,,,,,,,
1884,53,14983,279,,,,,,,,
,,15000,,6.9,-3.5088158000000007,,,,,,
1888,53,15008,278,,,,,,,,
1892,53,15035,278,,,,,,,,
1896,53,15057,278,,,,,,,,
1900,54,15084,279,,,,,,,,
,,15100,,6.9,-3.8937269,,,,,,
1904,54,15129,278,,,,,,,,
1908,54,15164,279,,,,,,,,
1912,54,15191,279,,,,,,,,
,,15200,,7.1,-3.4473754999999997,,,,,,
1916,54,15238,278,,,,,,,,
1920,54,15256,279,,,,,,,,
,,15300,,6.8,-3.4778399,,,,,,
1924,54,15300,278,,,,,,,,
1928,54,15332,278,,,,,,,,
1932,55,15376,279,,,,,,,,
,,15400,,8.9,-5.9891027,,,,,,
1936,55,15403,278,,,,,,,,
1940,55,15437,278,,,,,,,,
1944,55,15481,279,,,,,,,,
,,15500,,7.4,-4.196491,,,,,,
1948,55,15524,278,,,,,,,,
1952,55,15558,278,,,,,,,,
,,15600,,10.2,-7.0009952,,,,,,
1956,56,15601,277,,,,,,,,
1960,56,15649,278,,,,,,,,
1964,56,15683,278,,,,,,,,
,,15700,,10.7,-6.605018899999999,,,,,,
1968,56,15719,277,,,,,,,,
1972,56,15749,277,,,,,,,,
1976,56,15795,278,,,,,,,,
,,15800,,8.2,-4.7370424,,,,,,
1980,57,15839,277,,,,,,,,
1984,57,15877,278,,,,,,,,
,,15900,,5.6,-2.9428577,,,,,,
1988,57,15917,277,,,,,,,,
1992,57,15944,278,,,,,,,,
1996,57,15960,278,,,,,,,,
2000,57,15984,278,,,,,,,,
,,16000,,6.8,-4.1070993,,,,,,
2004,57,16029,278,,,,,,,,
2008,57,16054,278,,,,,,,,
2012,57,16097,278,,,,,,,,
,,16100,,5.2,-2.0855025,,,,,,
2016,57,16129,278,,,,,,,,
2020,57,16167,278,,,,,,,,
2024,57,16185,279,,,,,,,,
,,16200,,6.0,-2.728905,,,,,,
2028,58,16227,278,,,,,,,,
2032,58,16270,279,,,,,,,,
,,16300,,10.8,-8.3952377,,,,,,
2036,58,16314,277,,,,,,,,
2040,58,16352,278,,,,,,,,
2044,58,16396,278,,,,,,,,
,,16400,,8.1,-4.826346200000001,,,,,,
2048,59,16425,277,,,,,,,,
2052,59,16459,278,,,,,,,,
2056,59,16489,278,,,,,,,,
,,16500,,6.8,-3.7891061,,,,,,
2060,59,16507,277,,,,,,,,
2064,59,16521,278,,,,,,,,
2068,59,16553,278,,,,,,,,
,,16600,,8.1,-4.6107886,,,,,,
2072,59,16609,277,,,,,,,,
2076,59,16637,278,,,,,,,,
2080,59,16650,278,,,,,,,,
2084,59,16677,278,,,,,,,,
,,16700,,8.2,-4.7996204,,,,,,
2088,60,16704,277,,,,,,,,
2092,60,16724,277,,,,,,,,
2096,60,16764,278,,,,,,,,
2100,60,16797,278,,,,,,,,
,,16800,,8.4,-4.8664237,,,,,,
2104,60,16830,278,,,,,,,,
2108,60,16845,278,,,,,,,,
2112,60,16860,278,,,,,,,,
,,16900,,9.9,-5.985106,,,,,,
2116,60,16912,277,,,,,,,,
2120,61,16964,278,,,,,,,,
,,17000,,6.7,-3.089189,,,,,,
2124,61,17008,276,,,,,,,,
2128,61,17039,277,,,,,,,,
2132,61,17077,277,,,,,,,,
2136,61,17098,278,,,,,,,,
,,17100,,9.5,-5.741958500000001,,,,,,
2140,61,17150,277,,,,,,,,
2144,61,17190,277,,,,,,,,
,,17200,,8.2,-4.5747155,,,,,,
2148,62,17217,276,,,,,,,,
2152,62,17267,277,,,,,,,,
,,17300,,6.8,-3.5171459,,,,,,
2156,62,17309,276,,,,,,,,
2160,62,17340,277,,,,,,,,
